Date,ACN,AMZN,COST,DIS,F,GILD,JPM,KO,LUV,MA,MSFT,PFE,TSLA,UNH,XOM
1990-01-02,,,7.766412734985352,6.8540215492248535,2.1155941486358643,,3.2227914333343506,2.072805643081665,0.888730525970459,,0.3771868050098419,0.885171115398407,,0.29772332310676575,3.7296290397644043
1990-01-03,,,7.891676902770996,6.868860721588135,2.1272830963134766,,3.3302175998687744,2.042910575866699,0.8704056739807129,,0.37931233644485474,0.8882890939712524,,0.2916470468044281,3.6923344135284424
1990-01-04,,,7.975185394287109,6.861438751220703,2.1272830963134766,,3.3436477184295654,2.032944917678833,0.8749867677688599,,0.3904683291912079,0.9023144841194153,,0.28860920667648315,3.6550393104553223
1990-01-05,,,8.01694107055664,6.883692264556885,2.098062515258789,,3.3570737838745117,2.016334056854248,0.8704056739807129,,0.3809060752391815,0.894521951675415,,0.2764573097229004,3.6363906860351562
1990-01-08,,,7.870799541473389,6.942798137664795,2.098062515258789,,3.3570737838745117,2.0595180988311768,0.8795683979988098,,0.38674917817115784,0.8867303133010864,,0.2703809142112732,3.6923344135284424
1990-01-09,,,7.808174133300781,6.9353742599487305,2.0629968643188477,,3.2496485710144043,2.042910575866699,0.8429197072982788,,0.38568684458732605,0.8680290579795837,,0.2643052935600281,3.6177403926849365
1990-01-10,,,7.641150951385498,6.712611675262451,2.080528497695923,,3.236222267150879,2.0296220779418945,0.8154327273368835,,0.37506186962127686,0.883613109588623,,0.2673431634902954,3.6363906860351562
1990-01-11,,,7.34886360168457,6.712611675262451,2.1039059162139893,,3.1959357261657715,2.0296220779418945,0.7787845134735107,,0.36762434244155884,0.8742632269859314,,0.26126745343208313,3.6550393104553223
1990-01-12,,,6.93131685256958,6.519547462463379,2.045463800430298,,3.169079542160034,1.956541895866394,0.7696223258972168,,0.36603063344955444,0.858678936958313,,0.2521534264087677,3.561797857284546
1990-01-15,,,6.847805976867676,6.526974678039551,2.022087335586548,,3.169079542160034,1.9233253002166748,0.7833656668663025,,0.36603063344955444,0.8571207523345947,,0.25822892785072327,3.6084179878234863
1990-01-16,,,7.035704135894775,6.645779609680176,2.1039059162139893,,3.155649423599243,1.9399341344833374,0.8154327273368835,,0.3771868050098419,0.8664708137512207,,0.26126745343208313,3.5897698402404785
1990-01-17,,,6.826928615570068,6.541825771331787,2.0688414573669434,,3.1422204971313477,1.9266467094421387,0.7925275564193726,,0.3718748092651367,0.8664708137512207,,0.26126745343208313,3.533825397491455
1990-01-18,,,6.722541332244873,6.519547462463379,2.0688414573669434,,3.115365505218506,1.9166806936264038,0.7925275564193726,,0.4037491977214813,0.8804963827133179,,0.25519129633903503,3.5804452896118164
1990-01-19,,,6.743417739868164,6.504697799682617,2.086374044418335,,3.1019368171691895,1.9299677610397339,0.7925275564193726,,0.40003079175949097,0.8789385557174683,,0.25519129633903503,3.6270649433135986
1990-01-22,,,6.430257320404053,6.296784400939941,2.0337767601013184,,3.0079398155212402,1.8734971284866333,0.7787845134735107,,0.38568684458732605,0.8649120330810547,,0.24303925037384033,3.505852699279785
1990-01-23,,,6.555523872375488,6.229957103729248,2.0571532249450684,,2.9273691177368164,1.8867853879928589,0.7650410532951355,,0.3814370036125183,0.8540036678314209,,0.2308872938156128,3.5151753425598145
1990-01-24,,,6.5972747802734375,6.267083168029785,2.0095882415771484,,2.940798044204712,1.8768197298049927,0.7558788657188416,,0.38568684458732605,0.8617956638336182,,0.23696349561214447,3.505852699279785
1990-01-25,,,6.639026641845703,6.20767879486084,1.9858063459396362,,2.913942575454712,1.8269917964935303,0.7512977719306946,,0.38568684458732605,0.8493286967277527,,0.2400013953447342,3.431260347366333
1990-01-26,,,6.6807861328125,6.1928300857543945,2.015533208847046,,2.846799373626709,1.7937742471694946,0.7512977719306946,,0.38568684458732605,0.8446531891822815,,0.22481173276901245,3.4872052669525146
1990-01-29,,,6.555523872375488,6.289359092712402,2.027425527572632,,2.779658079147339,1.8137056827545166,0.7512977719306946,,0.38887473940849304,0.8540036678314209,,0.20962116122245789,3.505852699279785
1990-01-30,,,6.513765335083008,6.237380504608154,2.0214786529541016,,2.712517499923706,1.7605563402175903,0.7467166781425476,,0.3878122866153717,0.8446531891822815,,0.19746923446655273,3.505852699279785
1990-01-31,,,6.576397895812988,6.185404300689697,2.0512077808380127,,2.766231060028076,1.8303147554397583,0.7512977719306946,,0.393124520778656,0.8540036678314209,,0.22481173276901245,3.505852699279785
1990-02-01,,,6.513765335083008,6.0443196296691895,2.033370018005371,,2.7930870056152344,1.8269917964935303,0.7696223258972168,,0.3984372913837433,0.8602374196052551,,0.2187352478504181,3.505852699279785
1990-02-02,,,6.639026641845703,6.222530841827393,2.0512077808380127,,2.8065154552459717,1.8436026573181152,0.8108513951301575,,0.3984372913837433,0.8649120330810547,,0.22481173276901245,3.5711216926574707
1990-02-05,,,6.513765335083008,6.408164978027344,2.0690438747406006,,2.7930870056152344,1.8369569778442383,0.829175591468811,,0.4005621075630188,0.870886504650116,,0.23696349561214447,3.5804452896118164
1990-02-06,,,6.576397895812988,6.393318176269531,2.039316415786743,,2.779658079147339,1.8269917964935303,0.8154327273368835,,0.3994996249675751,0.8598816990852356,,0.24303925037384033,3.569113254547119
1990-02-07,,,6.430257320404053,6.4749956130981445,2.1344449520111084,,2.7930870056152344,1.8469228744506836,0.7925275564193726,,0.3963119387626648,0.8520218133926392,,0.2400013953447342,3.6257667541503906
